,Voc(V),Jsc(mA/cm2),FF(%),PCE(%),V_mpp(V),J_mpp(mA/cm2),P_mpp(mW/cm2),R_series(Ohmcm2),R_shunt(Ohmcm2),sample,batch,condition,cell,direction,ilum
87,1.060898,-20.179963,77.694739,16.633569,0.9,-18.481744,-16.6335696,0.004064,7.604262,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-9.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Forward,Light
88,1.069927,-21.538131,74.880764,17.255701,0.86,-20.064769,-17.255701339999998,0.005557,5.766632,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Reverse,Light
89,1.058522,-21.541381,71.720232,16.35366,0.82,-19.943487,-16.35365934,0.007769,5.174784,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,a,Forward,Light
90,0.593669,-20.806825,33.473633,4.134783,0.34,-12.161125,-4.1347825,0.018494,0.053467,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Reverse,Light
91,0.557261,-20.766275,34.568596,4.000362,0.32,-12.501131,-4.0003619200000005,0.018545,0.051723,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,b,Forward,Light
92,1.064311,-21.607412,79.255083,18.226294,0.9,-20.251438,-18.2262942,0.004092,5.145798,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Reverse,Light
93,1.063033,-21.60585,76.678899,17.611407,0.88,-20.012963,-17.61140744,0.004479,4.676995,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,c,Forward,Light
94,0.861218,-21.432406,52.35957,9.664515,0.58,-16.662956,-9.66451448,0.015291,0.251014,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Reverse,Light
95,0.763153,-21.423137,51.685859,8.450191,0.5,-16.900381,-8.4501905,0.019279,0.239303,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,d,Forward,Light
96,0.061794,-11.432569,22.886319,0.161683,0.04,-4.042085,-0.1616834,0.005363,0.00541,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Reverse,Light
97,0.061829,-11.460181,22.854745,0.161943,0.04,-4.048563,-0.16194251999999998,0.005375,0.005411,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,e,Forward,Light
98,1.050743,-21.305594,62.850336,14.070117,0.76,-18.513312,-14.070117119999999,0.007306,1.24466,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-10.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,f,Reverse,Light
